powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
WTON,1080000.0,28000.0,2.0,30,MX,2050,CopiedFromTemplate_XY
OILT_TB,2138031.543888621,38791.75904406929,5.213023459767594,25,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_TB,2137511.2645262,38791.75904406929,5.213023459767594,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_TB,2140595.8164766496,38791.75904406929,5.213023459767594,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_TB,800000.0,8000.0,6.0,25,MX,2040,CopiedFromTemplate_XY
OILT_TB,790000.0,7800.0,6.0,25,MX,2045,CopiedFromTemplate_XY
OILT_TB,780000.0,7700.0,6.0,25,MX,2050,CopiedFromTemplate_XY
OILT_CI,2138031.543888621,38791.75904406929,5.213023459767594,25,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_CI,2137511.2645262,38791.75904406929,5.213023459767594,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_CI,2140595.8164766496,38791.75904406929,5.213023459767594,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_CI,800000.0,8000.0,6.0,25,MX,2040,CopiedFromTemplate_XY
OILT_CI,790000.0,7800.0,6.0,25,MX,2045,CopiedFromTemplate_XY
OILT_CI,780000.0,7700.0,6.0,25,MX,2050,CopiedFromTemplate_XY
OILT_TE,2138031.543888621,38791.75904406929,5.213023459767594,25,MX,2025,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_TE,2137511.2645262,38791.75904406929,5.213023459767594,25,MX,2030,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_TE,2140595.8164766496,38791.75904406929,5.213023459767594,25,MX,2035,CAPEX_OPEX_VOM_NDC_ICM.xlsx:Costos_NDC_2024 (CAPEX/OPEX/VOM)
OILT_TE,800000.0,8000.0,6.0,25,MX,2040,CopiedFromTemplate_XY
OILT_TE,790000.0,7800.0,6.0,25,MX,2045,CopiedFromTemplate_XY
OILT_TE,780000.0,7700.0,6.0,25,MX,2050,CopiedFromTemplate_XY
